;Entity;Code;Week;area burnt by wildfires in 2024; burnt by wildfires in 2023; burnt by wildfires in 2022; burnt by wildfires in 2021; burnt by wildfires in 2020;area burnt by wildfires in 2019;a burnt by wildfires in 2018;area burnt by wildfires in 2017; area burnt by wildfires in 2016; area burnt by wildfires in 2015;area burnt by wildfires in 2014; area burnt by wildfires in 2013; area burnt by wildfires in 2012;Similarity
3545;Brazil;BRA;15;0;691330;810745;700341;1224092;1979000;648512;499331;2196229;1022098;763020;783763;623512;0,999894505
3796;Brazil;BRA;16;0;743786;918227;744278;1297130;2031759;674782;523929;2302992;1045123;785101;827213;670668;0,998835393
4047;Brazil;BRA;17;0;817366;1081917;795602;1416103;2081986;717484;559786;2382940;1082181;831244;875656;739960;0,997378751
4298;Brazil;BRA;18;0;884632;1232611;881077;1511876;2124492;784261;639981;2485897;1108335;903833;948777;889301;0,995833443
10216;Peru;PER;41;0;582675;1007730;729320;1055467;1075909;729935;567708;971439;824295;581916;740720;1132816;0,995690249
9965;Peru;PER;40;0;578654;930286;684565;931639;1048109;716208;535254;960390;779000;562916;733316;1125592;0,995687249
10467;Peru;PER;42;0;588139;1022821;739835;1072561;1082279;769145;579975;998780;847061;612133;758031;1151653;0,995645395
9714;Peru;PER;39;0;571122;897807;665540;880904;1032618;697982;467403;935746;743159;535294;718644;1055601;0,995573178
10718;Peru;PER;43;0;595746;1053410;775628;1096932;1094593;779724;586534;1019019;862658;617883;764227;1160513;0,995536691
10969;Peru;PER;44;0;598891;1103897;789109;1140819;1104995;791361;591079;1044663;880075;625773;766802;1173295;0,995455721
11722;Peru;PER;47;0;616073;1206282;808624;1234806;1115042;791774;616487;1260227;894305;644470;791317;1182353;0,995422042
11220;Peru;PER;45;0;603574;1158384;799585;1183633;1106522;791774;597203;1054390;883054;628464;782780;1178466;0,995355628
11471;Peru;PER;46;0;609968;1192556;805519;1201230;1112796;791774;606730;1152655;886331;630383;787418;1180001;0,995354271
11973;Peru;PER;48;0;617036;1246846;810102;1242373;1119882;791774;619347;1265472;898979;648768;808063;1184907;0,995279755
12224;Peru;PER;49;0;619740;1270175;812083;1242791;1121071;791774;622288;1268689;902652;651378;811123;1188015;0,995207376
6828;Congo;COG;28;0;675663;925625;593092;767990;880015;647569;569611;862913;839732;659648;768067;519263;0,995206616
9463;Peru;PER;38;0;516048;802734;601394;798002;967032;648553;452238;920582;692491;520043;624116;1046583;0,995187896
12475;Peru;PER;50;0;622607;1271129;816873;1245980;1123479;794062;632576;1271794;906048;653801;811975;1190614;0,995186613
12726;Peru;PER;51;0;624670;1275629;818744;1251844;1124248;796379;634436;1277566;906630;657231;815625;1192167;0,99516115
12977;Peru;PER;52;0;624877;1282746;823466;1252817;1125897;800115;637791;1281856;908480;657758;818529;1193932;0,995119652
7079;Congo;COG;29;0;788534;970889;665716;843404;921849;735035;668079;949848;948162;847826;989973;662903;0,995099261
11930;Malawi;MWI;48;0;666081;718761;794928;915973;879091;930012;803196;1071980;973834;931327;1076020;1203032;0,995045411
11428;Malawi;MWI;46;0;660503;709975;772218;905656;876327;930012;800746;1061539;965571;924806;1066556;1195762;0,995034851
12181;Malawi;MWI;49;0;667046;719324;800502;916224;880030;930012;803434;1072204;976225;936716;1079927;1204588;0,995034663
11679;Malawi;MWI;47;0;664301;715757;791286;913176;878729;930012;803196;1065518;973334;928341;1074465;1198960;0,995030795
11177;Malawi;MWI;45;0;658463;694392;747290;900978;861248;930012;779067;1042629;949137;898478;1045899;1187232;0,995029044
12432;Malawi;MWI;50;0;667763;719324;807781;916224;880030;930012;803434;1072408;976513;939673;1080412;1204588;0,995014907
12683;Malawi;MWI;51;0;667763;719324;807781;916224;880030;930012;803434;1072817;976728;941516;1080412;1204588;0,995014773
12934;Malawi;MWI;52;0;667763;719324;809451;916475;880030;930012;803434;1073222;976728;941733;1080611;1204588;0,995010584
5638;Kazakhstan;KAZ;23;0;577913;733412;910819;1206411;1352436;772048;1352874;652583;748750;1144542;514981;2389585;0,994941439
7330;Congo;COG;30;0;828048;1060495;761397;1010331;1006231;824948;918989;1245963;1028757;1052563;1082763;1073805;0,994826537
10926;Malawi;MWI;44;0;639045;647059;667866;856935;839476;923414;763132;1005854;938593;849037;1018673;1165254;0,994743515
4776;Angola;AGO;20;0;937276;897263;789097;949140;1170558;309563;1041987;1560643;1186843;390524;1430194;1714279;0,994724373
6658;Madagascar;MDG;27;0;850082;694466;727341;1167268;586867;893536;818485;1162014;515340;861008;1043295;550080;0,994706722
5136;Kazakhstan;KAZ;21;0;503229;716693;852202;1099272;1306077;712994;1271414;615723;694290;1050816;494875;2162736;0,994683478
5387;Kazakhstan;KAZ;22;0;510473;723015;886007;1124199;1342279;732460;1314474;638736;731820;1089444;510742;2302165;0,994683167
4885;Kazakhstan;KAZ;20;0;492835;703873;821087;1077657;1274244;675749;1221229;563792;660659;1017298;490228;2062028;0,994671085
6909;Madagascar;MDG;28;0;914217;814354;790691;1292988;720026;1010560;1000858;1304646;633918;921816;1137618;669318;0,994653759
4634;Kazakhstan;KAZ;19;0;484150;696743;791832;1073403;1229195;550622;1128133;529347;642070;962090;471606;1938708;0,994606965
5889;Kazakhstan;KAZ;24;0;588859;741781;959687;1361138;1417887;796059;1487759;670816;769009;1168127;527056;2470608;0,994557244
6577;Congo;COG;27;0;515418;792920;523403;737808;849426;591808;511882;765419;760579;533706;668668;452049;0,994515419
6407;Madagascar;MDG;26;0;737431;587310;667860;1018549;490599;778111;690095;1048496;465414;763842;919667;419805;0,994463414
3568;Cote d'Ivoire;CIV;15;0;656901;1187495;792652;1467591;1000486;758625;1128707;1937339;1608626;1332918;2410638;1111020;0,994270528
3819;Cote d'Ivoire;CIV;16;0;660841;1188805;793472;1471052;1001767;760444;1133461;1951031;1624937;1341229;2420200;1118441;0,9942599
4070;Cote d'Ivoire;CIV;17;0;665127;1193324;797031;1472961;1005160;761562;1136685;1964290;1633461;1353277;2429640;1132759;0,994243204
4321;Cote d'Ivoire;CIV;18;0;669820;1193795;797636;1479774;1005160;762841;1137678;1972226;1636611;1358591;2436811;1138227;0,994238242
4572;Cote d'Ivoire;CIV;19;0;670236;1195483;799095;1491279;1006868;763380;1140652;1980278;1663852;1363388;2445292;1143791;0,994193025
4383;Kazakhstan;KAZ;18;0;451170;662724;763562;1041483;1083020;483729;1027298;484770;616876;823532;459934;1816164;0,994178153
4823;Cote d'Ivoire;CIV;20;0;670236;1199993;805995;1492902;1010458;764797;1142567;1982132;1665581;1364361;2450698;1146532;0,994155255
12573;Benin;BEN;51;0;685902;880145;1105546;964948;1058115;445256;1308915;1233767;1151120;1230719;1457501;1142273;0,994154253
10675;Malawi;MWI;43;0;616610;575594;564502;843431;780025;864782;741328;962182;933392;774752;937567;1154212;0,994120567
5074;Cote d'Ivoire;CIV;21;0;670380;1199993;812434;1496812;1010656;765905;1146244;1983555;1674662;1377731;2452100;1149509;0,994115497
12322;Benin;BEN;50;0;641740;850232;1028890;905796;967717;377804;1254811;1162991;1048386;1113882;1321447;910811;0,994109389
5827;Cote d'Ivoire;CIV;24;0;671749;1201731;814457;1497239;1011505;767481;1151201;1995946;1675704;1381305;2467229;1163609;0,994104171
5576;Cote d'Ivoire;CIV;23;0;671749;1201731;814457;1497239;1010925;767333;1151201;1995946;1675704;1381305;2464102;1162657;0,99410415
6078;Cote d'Ivoire;CIV;25;0;671749;1201867;814457;1497239;1011638;767481;1151201;1996177;1676090;1381495;2467229;1163609;0,994103855
6329;Cote d'Ivoire;CIV;26;0;671749;1201867;814457;1497239;1011765;767481;1151347;1996177;1676250;1381703;2467229;1163812;0,994103752
6580;Cote d'Ivoire;CIV;27;0;671749;1201867;814457;1497239;1011765;767481;1151347;1996177;1676393;1381703;2467229;1163812;0,994103679
6831;Cote d'Ivoire;CIV;28;0;671749;1201867;814457;1497239;1011895;767617;1151347;1996177;1676393;1381914;2467373;1163812;0,994103607
7082;Cote d'Ivoire;CIV;29;0;671749;1201867;814457;1497239;1011895;767617;1151643;1996177;1676393;1381914;2467544;1163812;0,994103254
7333;Cote d'Ivoire;CIV;30;0;671749;1202055;814457;1497239;1011895;767755;1151643;1996177;1676732;1381914;2467544;1163812;0,99410226
7584;Cote d'Ivoire;CIV;31;0;671749;1202055;814457;1497239;1011895;767755;1151819;1996177;1676876;1381914;2467544;1163812;0,994101997
7835;Cote d'Ivoire;CIV;32;0;671749;1202055;814457;1497239;1011895;768026;1151957;1996177;1676876;1381914;2467544;1163812;0,994101459
8086;Cote d'Ivoire;CIV;33;0;671749;1202055;814457;1497415;1011895;768190;1151957;1996605;1676876;1381914;2468225;1163990;0,994101011
5325;Cote d'Ivoire;CIV;22;0;671584;1201099;814457;1497239;1010656;766407;1150649;1986862;1675704;1381305;2463250;1162084;0,994100875
8337;Cote d'Ivoire;CIV;34;0;671749;1202055;814603;1497415;1011895;768190;1151957;1996605;1676876;1381914;2468392;1163990;0,994100547
8839;Cote d'Ivoire;CIV;36;0;671749;1202055;814603;1497619;1012067;768190;1151957;1996605;1676876;1382143;2468581;1164134;0,994100296
8588;Cote d'Ivoire;CIV;35;0;671749;1202055;814603;1497619;1011895;768190;1151957;1996605;1676876;1381914;2468581;1164134;0,994100076
9090;Cote d'Ivoire;CIV;37;0;671749;1202055;814737;1497619;1012227;768403;1151957;1996605;1677174;1382143;2468581;1164392;0,99409969
9341;Cote d'Ivoire;CIV;38;0;671749;1202055;815092;1497619;1012227;768403;1151957;1996605;1677643;1382143;2468748;1164392;0,994098373
9592;Cote d'Ivoire;CIV;39;0;671749;1202055;815092;1497619;1012227;768403;1151957;1996605;1677643;1382143;2468945;1164392;0,994098331
9843;Cote d'Ivoire;CIV;40;0;671749;1202055;815092;1497795;1012227;768510;1151957;1996605;1677643;1382143;2468945;1164392;0,994097814
10094;Cote d'Ivoire;CIV;41;0;671749;1202055;815092;1497795;1012227;768726;1152186;1996605;1677643;1382143;2468945;1164392;0,994097258
10345;Cote d'Ivoire;CIV;42;0;671749;1202055;815092;1497795;1012227;769584;1152813;1996605;1677643;1382143;2468945;1164392;0,99409535
10596;Cote d'Ivoire;CIV;43;0;671749;1202335;815503;1498156;1012227;770604;1153096;1997290;1677796;1382143;2469498;1164392;0,994091
6140;Kazakhstan;KAZ;25;0;595000;762120;1088498;1433700;1449966;861339;1554535;679868;931115;1237017;582180;2507330;0,994083117
10847;Cote d'Ivoire;CIV;44;0;671749;1209815;815748;1499924;1012227;770604;1154567;1997667;1678061;1382143;2470606;1164533;0,994060227
11098;Cote d'Ivoire;CIV;45;0;671749;1227737;815960;1514526;1012846;770604;1156510;2001608;1678061;1382143;2476664;1165119;0,993970715
7581;Congo;COG;31;0;927293;1204157;819940;1138921;1142656;1036214;1013166;1484435;1236286;1086815;1206633;1283908;0,993969614
12071;Benin;BEN;49;0;576582;781353;934483;834552;910406;338676;1210136;1099792;888299;1006081;1168567;679662;0,993944391
12824;Benin;BEN;52;0;735114;933707;1140568;1037099;1108735;489603;1384900;1330495;1257442;1373208;1550504;1268566;0,993914493
4549;Brazil;BRA;19;0;1007307;1441212;1010974;1581098;2195580;864446;727252;2580484;1132829;979139;1027947;1050417;0,993777106
4132;Kazakhstan;KAZ;17;0;396304;614314;679335;1021461;883925;419091;709150;385176;456811;610879;446039;1796513;0,993661793
4500;Uganda;UGA;18;0;963172;823052;1181101;1109352;1185253;801841;1319280;1792733;2134279;1275308;1721202;1779215;0,993638273
3747;Uganda;UGA;15;0;963172;822863;1180232;1108047;1182881;801841;1319097;1792733;2134036;1271090;1720749;1778970;0,993636467
4249;Uganda;UGA;17;0;963172;823052;1181101;1108591;1184483;801841;1319097;1792733;2134036;1274402;1721202;1778970;0,993636024
3998;Uganda;UGA;16;0;963172;822863;1181101;1108047;1184180;801841;1319097;1792733;2134036;1271939;1721202;1778970;0,993635741
4751;Uganda;UGA;19;0;964083;824731;1181263;1110274;1185696;801996;1319280;1792733;2134279;1275308;1721202;1779537;0,993631786
5002;Uganda;UGA;20;0;965261;826544;1182075;1111002;1186197;801996;1319900;1792970;2134731;1276051;1722911;1779537;0,993620756
5253;Uganda;UGA;21;0;965499;827109;1183503;1114257;1187239;801996;1321198;1793871;2135622;1276972;1724911;1779789;0,993620499
5504;Uganda;UGA;22;0;966241;828377;1185601;1119190;1187497;802614;1321198;1794843;2135622;1277325;1727193;1780773;0,993617591
5755;Uganda;UGA;23;0;966801;829466;1186511;1123238;1188035;804324;1323754;1798139;2135800;1277325;1732000;1781046;0,993614863
9212;Peru;PER;37;0;456448;658385;524500;747747;801940;582898;329600;880391;623748;491296;516372;863973;0,993612226
7160;Madagascar;MDG;29;0;982898;893913;846423;1502310;863206;1097795;1171049;1393772;754095;973173;1220965;738441;0,993599425
6508;Uganda;UGA;26;0;967028;837373;1193904;1143944;1190881;811894;1337041;1808532;2137497;1288420;1746364;1784476;0,993588754
6006;Uganda;UGA;24;0;966801;832274;1190268;1124604;1188616;809900;1328936;1801182;2136520;1277325;1734159;1784037;0,993585916
6257;Uganda;UGA;25;0;966801;834293;1191431;1127908;1189845;810238;1332203;1801182;2137162;1278652;1738389;1784217;0,993579088
6391;Kazakhstan;KAZ;26;0;600074;808043;1184603;1515624;1504356;905304;1783753;684840;1062722;1377878;604874;2537940;0,993572946
11349;Cote d'Ivoire;CIV;46;0;674643;1285577;817649;1610590;1013722;770604;1175712;2008698;1678843;1382611;2481756;1165363;0,99356988
13046;Vietnam;VNM;52;0;573954;346397;544844;884086;848094;470189;499919;1268462;1325691;1500038;1044074;1242078;0,993551225
6156;Madagascar;MDG;25;0;606495;488881;585470;913761;422308;696716;578076;920819;386190;682699;813568;356911;0,993544273
12795;Vietnam;VNM;51;0;568564;342020;543834;881177;841970;468891;499460;1264547;1315394;1494947;1030044;1231495;0,993507041
6759;Uganda;UGA;27;0;969856;858117;1198982;1147964;1191703;817483;1337823;1817690;2140095;1293230;1767779;1785856;0,99349644
11820;Benin;BEN;48;0;502523;724918;874659;768028;829595;338676;1144860;1001268;766972;878416;982896;565430;0,99344209
6677;Mozambique;MOZ;27;0;626757;224167;556858;1302177;776848;726343;284688;565620;972768;865402;1282501;1488552;0,99342619
7010;Uganda;UGA;28;0;976287;870732;1199563;1150788;1191703;821071;1341293;1826164;2150305;1294810;1809687;1788890;0,993421136
12544;Vietnam;VNM;50;0;565440;324213;540168;881177;838498;462947;490784;1263798;1309815;1486986;1025740;1223366;0,993410459
13025;Togo;TGO;52;0;404277;683997;589576;758559;637167;444550;798848;818319;1036754;755941;961233;649554;0,993398463
6326;Congo;COG;26;0;416735;727095;473123;683648;806375;569360;430222;685551;633457;384930;597309;410394;0,9933803
12293;Vietnam;VNM;49;0;563399;316099;537535;879485;832430;461331;489497;1262186;1304969;1484869;1024681;1215163;0,993355004
12042;Vietnam;VNM;48;0;562458;316099;527238;877698;819874;461331;487660;1259827;1302977;1484271;1016468;1207603;0,993297104
7261;Uganda;UGA;29;0;1005963;877198;1212008;1161269;1192488;837413;1342465;1838373;2153671;1300801;1831375;1790829;0,993269007
11791;Vietnam;VNM;47;0;561478;312720;519761;876487;817031;461331;486636;1258185;1300981;1481734;1011834;1204423;0,993254423
11569;Benin;BEN;47;0;469148;692389;784233;714930;689013;338676;997367;910885;650036;774869;870691;437176;0,993228184
11540;Vietnam;VNM;46;0;557312;312720;514548;873882;813495;461331;486636;1254390;1299349;1479099;1009649;1203042;0,993214266
11289;Vietnam;VNM;45;0;556543;311600;514127;870888;811128;461331;485093;1253538;1296144;1477965;1009311;1202877;0,993196599
7763;Uganda;UGA;31;0;1018523;885938;1227187;1191133;1195862;853647;1346225;1845357;2159251;1306347;1846728;1793693;0,993193158
7512;Uganda;UGA;30;0;1014310;885159;1220205;1167905;1195137;849657;1343196;1841238;2156755;1303929;1845232;1791413;0,993188775
6246;Tanzania;TZA;25;0;386506;806066;853780;506708;1623012;339887;1494193;1169492;1868246;1403357;2016420;1711038;0,993187508
11038;Vietnam;VNM;44;0;554281;310363;511463;869368;809522;460584;484617;1252977;1295121;1476660;1006296;1201454;0,993171464
8014;Uganda;UGA;32;0;1026841;890697;1228182;1194882;1197229;859575;1346640;1846010;2164241;1306347;1855927;1795013;0,993145329
10424;Malawi;MWI;42;0;524144;502020;481552;766269;652513;740572;670447;872928;896499;641006;833294;1083838;0,993139596
10787;Vietnam;VNM;43;0;553368;307386;511290;869368;809105;448637;481374;1252977;1294147;1475941;1001946;1200958;0,993138534
10536;Vietnam;VNM;42;0;552358;307386;510293;868338;805951;444785;481374;1252132;1292020;1475235;1001672;1200309;0,993120311
8265;Uganda;UGA;33;0;1035514;890697;1228728;1196342;1201527;866546;1347941;1853684;2172863;1306347;1856684;1797664;0,993116022
11600;Cote d'Ivoire;CIV;47;0;683786;1353899;822368;1720002;1014964;770604;1198856;2023910;1691678;1384022;2498706;1169349;0,99311055
10285;Vietnam;VNM;41;0;551377;303768;509124;868338;805723;438680;481374;1250406;1287617;1474396;1001672;1196977;0,993094185
10034;Vietnam;VNM;40;0;551078;302114;509124;868120;803597;432400;480895;1249445;1286112;1472355;997390;1196569;0,993075836
9783;Vietnam;VNM;39;0;549985;301135;507074;867311;800956;424806;479466;1249031;1284755;1470235;995266;1195503;0,993046168
9532;Vietnam;VNM;38;0;549266;300945;503848;866099;796409;415991;478770;1247969;1279966;1467623;993974;1193678;0,993013173
8516;Uganda;UGA;34;0;1069322;894946;1230983;1197441;1201810;868234;1348643;1860718;2181193;1307082;1860482;1799099;0,992988649
9281;Vietnam;VNM;37;0;544963;300721;500070;865716;795482;415392;478025;1247369;1272976;1465834;993718;1186922;0,992988126
9030;Vietnam;VNM;36;0;544698;296403;494331;862592;791241;414470;476599;1245548;1272769;1465505;993718;1186156;0,992938786
8767;Uganda;UGA;35;0;1089204;895149;1232125;1198831;1204482;869159;1348643;1879955;2186595;1307082;1869838;1799604;0,992937389
11318;Benin;BEN;46;0;437153;622611;716698;680716;634769;338676;913314;824098;584108;652363;811282;354453;0,992905239
8779;Vietnam;VNM;35;0;542698;295657;494331;855739;787438;409081;471990;1244103;1265121;1462787;993234;1185957;0,992900682
9018;Uganda;UGA;36;0;1098815;895812;1233051;1200802;1205101;877512;1348862;1891479;2191872;1307571;1873770;1799604;0,992899806
6483;South Africa;ZAF;26;0;703207;598129;1079589;679990;678608;551305;898568;649276;877391;951129;983336;1020664;0,992870288
9269;Uganda;UGA;37;0;1100597;895986;1233443;1206171;1205589;900525;1348862;1900241;2223126;1307835;1884035;1799768;0,992859186
7411;Madagascar;MDG;30;0;1096054;936244;910990;1624239;1015046;1189603;1225592;1552139;873082;1015726;1348463;844753;0,992854533
8528;Vietnam;VNM;34;0;541188;290485;491838;850441;786706;403095;469412;1241016;1259589;1462787;988389;1182493;0,992849915
6928;Mozambique;MOZ;28;0;832219;342753;626736;1973945;1156449;798097;577952;614371;1364884;1029305;1495169;1935900;0,992830763
12784;Ukraine;UKR;51;0;443563;706964;342302;1103696;1071184;751298;1604514;1111447;2071560;2219834;497448;602427;0,992824196
13035;Ukraine;UKR;52;0;443762;706964;342302;1103696;1071184;751298;1604514;1111447;2073143;2220204;497448;602427;0,992823898
12533;Ukraine;UKR;50;0;443563;706964;342302;1103696;1069555;751298;1604514;1111295;2070150;2219834;497072;602427;0,992822018
12282;Ukraine;UKR;49;0;443563;706964;342302;1103460;1069555;751298;1604514;1111153;2070150;2219651;497072;602427;0,992821483
12031;Ukraine;UKR;48;0;443563;706654;342155;1103341;1069030;751298;1604514;1110943;2069829;2219651;495208;602427;0,992818527
11780;Ukraine;UKR;47;0;443563;706179;342033;1102981;1068717;751298;1604514;1110943;2069829;2219388;494611;602427;0,992815285
9520;Uganda;UGA;38;0;1102406;896403;1234983;1208557;1206184;929370;1348862;1911624;2233650;1307835;1885468;1800872;0,992814358
11529;Ukraine;UKR;46;0;443563;706179;341471;1102981;1063144;751298;1604514;1109626;2069577;2210048;494490;601981;0,992806204
8277;Vietnam;VNM;33;0;539233;288704;485464;842874;783704;401457;468040;1239804;1251351;1459624;986825;1180385;0,992799558
7832;Congo;COG;32;0;986526;1306997;873497;1464611;1239233;1196117;1070100;1586119;1303362;1170935;1414503;1404850;0,992797392
6734;South Africa;ZAF;27;0;859301;695741;1242760;818588;847755;620324;990702;687897;931425;1071922;1040819;1195213;0,99278947
11278;Ukraine;UKR;45;0;443563;705497;337761;1083024;1060866;751298;1603876;1109626;2066107;2206550;493227;601728;0,992751319
8026;Vietnam;VNM;32;0;535118;285709;477260;840801;776021;400457;466881;1239486;1231298;1455181;974068;1173969;0,992747521
6985;South Africa;ZAF;28;0;951262;839905;1442551;996627;1003351;660322;1104268;758018;997086;1214643;1125936;1312646;0,992744028
11027;Ukraine;UKR;44;0;441407;705083;336447;1082711;1051754;748762;1603876;1109143;2058416;2166148;488290;601550;0,992741532
9771;Uganda;UGA;39;0;1103174;898194;1237131;1209715;1206184;969441;1348862;1914554;2255699;1308673;1887742;1803166;0,992734226
11851;Cote d'Ivoire;CIV;48;0;687743;1397113;846117;1786544;1050959;770604;1293018;2046107;1723735;1389881;2583424;1181217;0,992711462
7775;Vietnam;VNM;31;0;526889;284989;473968;838981;771998;399916;463754;1235975;1228772;1444475;972970;1169868;0,992697561
7524;Vietnam;VNM;30;0;525149;283774;473128;838846;771837;395019;462370;1232160;1226772;1443104;971128;1168204;0,992675736
6232;South Africa;ZAF;25;0;604100;540486;833562;589705;533633;471176;846614;598211;818406;847781;873730;870613;0,992674304
10776;Ukraine;UKR;43;0;440007;703778;317248;1080708;1022957;744637;1602895;1106223;2020022;2090614;469624;601268;0,992667205
6497;Tanzania;TZA;26;0;605190;1129437;1159611;815594;2110915;544458;1919883;1789542;2355521;1985921;2567000;2155288;0,992664931
7273;Vietnam;VNM;29;0;523793;281154;471654;834116;768029;394441;462231;1228993;1224229;1443104;971128;1168204;0,992640449
11067;Benin;BEN;45;0;409430;597595;695420;647428;602627;338676;790159;724143;529304;550535;707951;278206;0,992632887
7022;Vietnam;VNM;28;0;523252;279791;471266;831151;764890;394441;462231;1224380;1223191;1442859;970465;1161762;0,992619666
6771;Vietnam;VNM;27;0;521087;279317;469722;826538;758033;394297;461291;1221979;1221507;1442036;967448;1154100;0,99258522
3881;Kazakhstan;KAZ;16;0;327102;517727;589256;916728;834020;350199;540120;352061;374182;531911;425838;1451799;0,992576062
10525;Ukraine;UKR;42;0;434224;702268;295460;1070981;1016993;730723;1601793;1080083;2017154;2006061;456940;594940;0,992575679
6520;Vietnam;VNM;26;0;518700;279071;468190;824161;757182;387893;460915;1217173;1217122;1439135;964443;1153509;0,9925568
6269;Vietnam;VNM;25;0;517564;278750;464143;822600;753111;382595;460210;1215196;1190868;1437751;950162;1148351;0,992537811
10022;Uganda;UGA;40;0;1118417;900050;1237131;1212526;1206184;1066380;1349324;1917084;2309725;1309131;1889537;1807086;0,992519098
12927;Liberia;LBR;52;0;539318;607524;359443;545777;875698;367090;646102;635794;1388390;677051;415136;789713;0,992518428
12676;Liberia;LBR;51;0;539096;607325;358532;545371;875446;366889;644737;635382;1387478;675954;414792;789713;0,992514098
12425;Liberia;LBR;50;0;537901;606724;358532;545371;874986;366511;644574;635382;1386316;675314;414259;789531;0,992507541
12174;Liberia;LBR;49;0;537721;606724;358532;545371;874986;366511;644366;635382;1385734;675029;414093;789531;0,992507381
11923;Liberia;LBR;48;0;537721;606724;358309;545371;874986;366511;644366;635382;1385734;675029;412840;789531;0,992506463
11421;Liberia;LBR;46;0;537721;606724;358309;545371;874754;366511;644366;635382;1385295;675029;412840;789531;0,992506302
11672;Liberia;LBR;47;0;537721;606724;358309;545371;874754;366511;644366;635382;1385295;675029;412840;789531;0,992506302
10668;Liberia;LBR;43;0;537721;606724;357988;545371;874754;366511;644366;635382;1385295;675029;412840;789531;0,992505361
10919;Liberia;LBR;44;0;537721;606724;357988;545371;874754;366511;644366;635382;1385295;675029;412840;789531;0,992505361
11170;Liberia;LBR;45;0;537721;606724;357988;545371;874754;366511;644366;635382;1385295;675029;412840;789531;0,992505361
6150;Liberia;LBR;25;0;537721;606724;357988;545371;874754;366176;644366;635382;1384697;675029;412840;788381;0,992505271
6401;Liberia;LBR;26;0;537721;606724;357988;545371;874754;366176;644366;635382;1384697;675029;412840;788381;0,992505271
6652;Liberia;LBR;27;0;537721;606724;357988;545371;874754;366176;644366;635382;1384697;675029;412840;788381;0,992505271
10417;Liberia;LBR;42;0;537721;606724;357988;545371;874754;366414;644366;635382;1385295;675029;412840;789531;0,992505221
6903;Liberia;LBR;28;0;537721;606724;357988;545371;874754;366176;644366;635382;1384697;675029;412840;789531;0,992505186
7154;Liberia;LBR;29;0;537721;606724;357988;545371;874754;366176;644366;635382;1384697;675029;412840;789531;0,992505186
10166;Liberia;LBR;41;0;537721;606724;357988;545371;874754;366316;644366;635382;1385295;675029;412840;789531;0,99250508
7405;Liberia;LBR;30;0;537721;606724;357988;545371;874754;366176;644366;635382;1384929;675029;412840;789531;0,992505066
7656;Liberia;LBR;31;0;537721;606724;357988;545371;874754;366176;644366;635382;1385119;675029;412840;789531;0,992504969
7907;Liberia;LBR;32;0;537721;606724;357988;545371;874754;366176;644366;635382;1385119;675029;412840;789531;0,992504969
8158;Liberia;LBR;33;0;537721;606724;357988;545371;874754;366176;644366;635382;1385119;675029;412840;789531;0,992504969
8409;Liberia;LBR;34;0;537721;606724;357988;545371;874754;366176;644366;635382;1385119;675029;412840;789531;0,992504969
8660;Liberia;LBR;35;0;537721;606724;357988;545371;874754;366176;644366;635382;1385119;675029;412840;789531;0,992504969
8911;Liberia;LBR;36;0;537721;606724;357988;545371;874754;366176;644366;635382;1385119;675029;412840;789531;0,992504969
9162;Liberia;LBR;37;0;537721;606724;357988;545371;874754;366176;644366;635382;1385295;675029;412840;789531;0,992504878
9413;Liberia;LBR;38;0;537721;606724;357988;545371;874754;366176;644366;635382;1385295;675029;412840;789531;0,992504878
9664;Liberia;LBR;39;0;537721;606724;357988;545371;874754;366176;644366;635382;1385295;675029;412840;789531;0,992504878
9915;Liberia;LBR;40;0;537721;606724;357988;545371;874754;366176;644366;635382;1385295;675029;412840;789531;0,992504878
5899;Liberia;LBR;24;0;537721;606724;357811;545371;874495;366176;644366;635382;1384697;674780;412840;788381;0,992504248
5648;Liberia;LBR;23;0;537721;606724;357811;544905;874495;366176;644366;634944;1384697;674780;406992;788381;0,992501735
5905;Madagascar;MDG;24;0;546533;397532;520733;841321;391498;546286;529882;838415;313945;603341;696972;283080;0,992500359
5397;Liberia;LBR;22;0;537721;606318;357811;544737;874495;366176;643856;627508;1384527;674780;406684;788212;0,992495268
10274;Ukraine;UKR;41;0;429787;699800;278391;1063646;938142;590815;1585770;1071700;1859949;1968899;449421;590188;0,992493307
6018;Vietnam;VNM;24;0;516060;275921;460886;819709;749253;380845;457240;1198052;1190104;1435046;945442;1145838;0,992486122
5146;Liberia;LBR;21;0;537524;605362;354988;544737;874019;366176;643555;616064;1384527;673481;390882;786004;0,992470943
10273;Uganda;UGA;41;0;1127214;906344;1237706;1214442;1206184;1075667;1349324;1942005;2321792;1309484;1900004;1810468;0,992468793
6803;Bolivia;BOL;28;0;746085;1418948;878024;683797;808605;619502;530149;978001;218518;207719;275753;247819;0,992463218
5771;Zambia;ZMB;23;0;1763346;510944;803788;722451;1967547;609571;286757;1077714;949042;1013269;2815324;1893745;0,992462823
8784;Zimbabwe;ZWE;35;0;1307472;705845;785702;468700;1131904;957621;708629;704325;999946;939044;1144925;1560877;0,992443262
5767;Vietnam;VNM;23;0;513718;271756;458728;818251;746793;379898;454704;1177045;1183066;1434897;933577;1136741;0,992439216
6075;Congo;COG;25;0;368524;668758;459412;614000;660562;558851;406243;610856;501354;351094;512938;371043;0,992416325
